Year,Month,Temperature
1951,1,-1.0029032258064516
1951,2,1.4110714285714283
1951,3,3.6406451612903217
1951,4,9.843666666666666
1951,5,15.973225806451614
1951,6,19.232333333333333
1951,7,23.14483870967742
1951,8,22.143225806451614
1951,9,17.820666666666668
1951,10,12.205806451612903
1951,11,3.3753333333333324
1951,12,-0.42677419354838714
1952,1,-0.004516129032258068
1952,2,1.91551724137931
1952,3,3.15741935483871
1952,4,10.915666666666665
1952,5,15.873225806451615
1952,6,21.514000000000003
1952,7,23.372580645161285
1952,8,22.663548387096775
1952,9,18.82266666666667
1952,10,11.63483870967742
1952,11,4.3996666666666675
1952,12,0.7974193548387095
1953,1,2.4596774193548385
1953,2,2.1460714285714286
1953,3,6.528064516129034
1953,4,9.302999999999999
1953,5,15.08483870967742
1953,6,21.200333333333333
1953,7,23.409677419354836
1953,8,22.26838709677419
1953,9,18.96566666666666
1953,10,13.440645161290323
1953,11,6.594999999999999
1953,12,0.9351612903225804
1954,1,-0.610967741935484
1954,2,5.223928571428572
1954,3,4.02483870967742
1954,4,12.310666666666664
1954,5,14.759354838709678
1954,6,20.458000000000002
1954,7,24.13483870967742
1954,8,22.303870967741936
1954,9,19.128000000000004
1954,10,12.591290322580644
1954,11,6.693333333333333
1954,12,1.058387096774194
1955,1,-1.4716129032258063
1955,2,-0.5296428571428571
1955,3,4.4806451612903215
1955,4,11.577
1955,5,16.255806451612905
1955,6,19.177999999999997
1955,7,23.56419354838709
1955,8,23.241935483870968
1955,9,18.80933333333333
1955,10,12.785483870967742
1955,11,3.4530000000000003
1955,12,-0.1638709677419355
1956,1,-0.545483870967742
1956,2,0.15172413793103454
1956,3,4.85774193548387
1956,4,9.644333333333334
1956,5,16.52516129032258
1956,6,21.29333333333333
1956,7,22.79838709677419
1956,8,22.03870967741936
1956,9,18.375333333333337
1956,10,13.41387096774194
1956,11,4.619666666666668
1956,12,2.3435483870967744
1957,1,-2.738709677419355
1957,2,3.37
1957,3,5.150967741935483
1957,4,10.379000000000001
1957,5,15.346774193548388
1957,6,20.37966666666667
1957,7,23.469677419354838
1957,8,22.017419354838704
1957,9,17.87033333333333
1957,10,10.926129032258062
1957,11,4.590666666666666
1957,12,2.7800000000000002
1958,1,-0.22064516129032258
1958,2,-0.015000000000000013
1958,3,3.148064516129032
1958,4,10.14533333333333
1958,5,16.889354838709675
1958,6,19.941333333333336
1958,7,22.551612903225806
1958,8,22.923870967741937
1958,9,18.55400000000001
1958,10,12.62258064516129
1958,11,6.110333333333333
1958,12,0.11677419354838718
1959,1,-1.3870967741935485
1959,2,0.2739285714285714
1959,3,5.245483870967742
1959,4,10.876999999999999
1959,5,16.01322580645161
1959,6,21.07966666666667
1959,7,23.08677419354839
1959,8,22.858064516129033
1959,9,18.176666666666673
1959,10,11.836774193548388
1959,11,3.697
1959,12,2.1935483870967736
1960,1,-1.4125806451612903
1960,2,-0.8151724137931035
1960,3,2.1683870967741936
1960,4,11.425999999999998
1960,5,15.156774193548388
1960,6,20.581666666666663
1960,7,23.25354838709677
1960,8,22.328064516129032
1960,9,19.127000000000002
1960,10,12.640967741935482
1960,11,5.951333333333334
1960,12,-0.8929032258064517
1961,1,-1.2645161290322582
1961,2,3.0067857142857144
1961,3,6.368387096774195
1961,4,9.252666666666666
1961,5,14.91967741935484
1961,6,20.81433333333333
1961,7,22.895806451612902
1961,8,22.592903225806452
1961,9,17.439666666666664
1961,10,12.124516129032259
1961,11,4.716666666666666
1961,12,-0.5058064516129032
1962,1,-2.7941935483870965
1962,2,1.6249999999999998
1962,3,3.278387096774193
1962,4,11.015666666666666
1962,5,16.78870967741935
1962,6,19.934
1962,7,22.245483870967742
1962,8,22.278709677419354
1962,9,17.864666666666665
1962,10,13.389032258064514
1962,11,6.203333333333333
1962,12,0.7783870967741935
1963,1,-4.2
1963,2,1.180357142857143
1963,3,6.502903225806452
1963,4,11.039666666666665
1963,5,16.102903225806454
1963,6,20.354333333333336
1963,7,23.098709677419354
1963,8,22.195483870967745
1963,9,19.063666666666666
1963,10,15.185483870967742
1963,11,6.684666666666667
1963,12,-2.2767741935483867
1964,1,-0.2561290322580645
1964,2,-0.1303448275862069
1964,3,3.7864516129032255
1964,4,10.713666666666665
1964,5,16.336451612903225
1964,6,19.984333333333332
1964,7,23.684838709677425
1964,8,21.495161290322574
1964,9,17.598333333333336
1964,10,12.093870967741934
1964,11,5.735
1964,12,0.021290322580645102
1965,1,-0.10806451612903227
1965,2,0.28714285714285726
1965,3,1.9132258064516132
1965,4,11.040666666666668
1965,5,15.98741935483871
1965,6,19.341666666666665
1965,7,22.54064516129032
1965,8,21.685483870967737
1965,9,16.529333333333334
1965,10,12.764193548387095
1965,11,7.028000000000001
1965,12,2.135483870967742
1966,1,-3.1193548387096772
1966,2,-0.41857142857142865
1966,3,6.102258064516128
1966,4,9.973666666666666
1966,5,15.645806451612902
1966,6,19.94966666666667
1966,7,23.910967741935483
1966,8,21.572580645161292
1966,9,18.06866666666666
1966,10,11.561612903225807
1966,11,6.226666666666668
1966,12,0.3783870967741936
1967,1,0.6061290322580646
1967,2,0.49000000000000005
1967,3,6.459032258064518
1967,4,10.552000000000001
1967,5,14.225806451612904
1967,6,19.734333333333336
1967,7,22.496129032258064
1967,8,21.77
1967,9,17.795333333333335
1967,10,12.170645161290324
1967,11,5.298
1967,12,0.044193548387096666
1968,1,-1.701612903225806
1968,2,0.5110344827586207
1968,3,6.415483870967741
1968,4,10.313333333333333
1968,5,14.529354838709676
1968,6,20.27
1968,7,22.689677419354844
